#RPLIDAR SCAN DATA
#COUNT=1132
#Angule	Distance	Quality
352.0129 3920.0 188
352.3260 3920.0 188
352.6392 3912.0 188
352.9688 3920.0 188
353.2764 3920.0 188
353.5895 3924.0 188
353.9026 3936.0 188
354.2157 3948.0 188
354.5288 3956.0 188
354.8584 3960.0 188
355.1715 3968.0 188
355.4791 3984.0 188
355.7922 4004.0 188
356.1053 4012.0 188
356.4349 4020.0 188
356.7480 4036.0 188
357.0612 4040.0 188
357.3743 4044.0 188
357.6984 4060.0 188
358.0115 4072.0 188
358.3246 4076.0 188
358.6377 4080.0 188
358.9673 4088.0 188
359.2804 4096.0 188
359.5935 4096.0 188
359.9011 4096.0 188
0.1703 4104.0 188
0.4834 4104.0 188
0.7965 4104.0 188
1.1700 4096.0 188
1.4832 4088.0 188
1.8073 4068.0 188
2.1204 4040.0 188
2.4335 4012.0 188
2.7466 4000.0 188
3.0597 4012.0 188
3.3893 4072.0 188
3.6365 4136.0 188
3.9661 4168.0 188
4.2792 4184.0 188
4.5923 4216.0 188
4.9054 4240.0 188
5.2295 4264.0 188
5.5426 4288.0 188
5.8557 4312.0 188
6.1688 4320.0 188
6.4819 4320.0 188
6.8115 4336.0 188
7.1246 4360.0 188
7.4323 4400.0 188
7.7454 4400.0 188
8.0750 4392.0 188
8.3881 4392.0 188
8.7012 4400.0 188
9.0143 4400.0 188
9.3274 4400.0 188
9.6515 4408.0 188
9.9646 4416.0 188
10.2777 4424.0 188
10.5908 4440.0 188
10.9204 4440.0 188
11.2335 4440.0 188
11.5466 4472.0 188
11.8542 4504.0 188
12.1838 4512.0 188
12.4969 4544.0 188
12.8101 4584.0 188
13.1232 4608.0 188
13.4363 4624.0 188
13.7604 4640.0 188
14.0735 4648.0 188
14.3866 4632.0 188
14.6997 4616.0 188
15.0293 4592.0 188
15.3424 4552.0 188
15.6555 4528.0 188
15.9686 4544.0 188
16.2927 4616.0 188
16.6058 4712.0 188
16.9189 4760.0 188
17.2321 4800.0 188
17.5452 4824.0 188
17.8748 4840.0 188
18.1824 4864.0 188
18.4955 4896.0 188
18.8086 4904.0 188
19.0778 4920.0 188
19.3854 4952.0 188
19.6985 4992.0 188
20.0281 5024.0 188
20.3412 5048.0 188
20.6543 5064.0 188
20.9674 5104.0 188
21.2915 5128.0 188
21.6046 5136.0 188
21.9177 5152.0 188
22.2308 5200.0 188
22.5604 5224.0 188
22.8735 5224.0 188
23.1866 5240.0 188
23.4998 5264.0 188
23.8074 5280.0 188
24.1370 5280.0 188
24.4501 5272.0 188
24.7632 5264.0 188
25.0763 5248.0 188
25.4059 5224.0 188
25.7135 5272.0 188
26.0266 5408.0 188
26.3562 5520.0 188
26.6693 5600.0 188
26.9824 5680.0 188
27.3120 5704.0 188
27.6196 5744.0 188
27.9327 5784.0 188
28.2623 5784.0 188
28.5754 5792.0 188
28.8885 5808.0 188
29.2181 5840.0 188
29.5312 5872.0 188
29.8389 5944.0 188
30.1685 6016.0 188
30.4816 6048.0 188
30.7947 6112.0 188
31.1243 6144.0 188
31.3879 6160.0 188
31.7010 6152.0 188
32.0746 6120.0 188
32.3877 6112.0 188
32.7008 6112.0 188
33.2941 6168.0 188
33.7775 3544.0 188
34.4037 3552.0 188
35.9363 1112.0 188
36.2494 1112.0 188
36.5735 1116.0 188
36.8262 1120.0 188
37.1558 1122.0 188
37.4634 1126.0 188
37.7765 1130.0 188
38.1061 1134.0 188
38.4192 1138.0 188
38.7488 1142.0 188
39.0619 1146.0 188
39.3750 1150.0 188
39.6991 1150.0 188
40.0122 1152.0 188
40.3253 1160.0 188
40.6549 1160.0 188
40.9680 1146.0 188
41.2811 1128.0 188
41.6052 1118.0 188
41.9843 1106.0 188
42.2919 1094.0 188
42.6050 1084.0 188
42.9346 1072.0 188
43.2916 1060.0 188
43.6212 1050.0 188
43.9343 1042.0 188
44.2474 1034.0 188
44.6210 1024.0 188
44.9506 1018.0 188
45.2637 1006.0 188
45.5768 994.0 188
45.9009 984.0 188
46.2799 972.0 188
46.5930 954.0 188
46.9666 934.0 188
47.2797 918.0 188
47.6532 910.0 188
47.9828 904.0 188
48.2959 896.0 188
48.6090 888.0 188
48.9331 880.0 188
49.2957 874.0 188
49.6198 868.0 188
49.9329 860.0 188
50.2460 854.0 188
50.5756 848.0 188
50.9491 842.0 188
51.2622 834.0 188
51.5753 828.0 188
51.9049 824.0 188
52.2784 818.0 188
52.5916 812.0 188
52.9047 806.0 188
53.2343 800.0 188
53.5419 796.0 188
53.9209 790.0 188
54.2340 784.0 188
54.5581 778.0 188
54.8712 774.0 188
55.1843 770.0 188
55.5579 764.0 188
55.8875 760.0 188
56.2006 754.0 188
56.5137 748.0 188
56.8433 746.0 188
57.2168 742.0 188
57.5299 738.0 188
57.8430 734.0 188
58.1671 728.0 188
58.4802 724.0 188
58.8593 718.0 188
59.1669 714.0 188
59.4800 710.0 188
59.8096 706.0 188
60.1227 704.0 188
60.4962 700.0 188
60.8093 698.0 188
61.1389 692.0 188
61.4520 688.0 188
61.7651 684.0 188
62.1387 680.0 188
62.4683 678.0 188
62.7759 674.0 188
63.0890 672.0 188
63.4186 668.0 188
63.7811 664.0 188
64.1052 662.0 188
64.4183 658.0 188
64.7314 654.0 188
65.0610 652.0 188
65.3741 648.0 188
65.7477 646.0 188
66.0608 642.0 188
66.3904 638.0 188
66.6980 634.0 188
67.0111 632.0 188
67.3901 628.0 188
67.7142 626.0 188
68.0273 624.0 188
68.3405 620.0 188
68.6700 616.0 188
69.0271 614.0 188
69.3567 610.0 188
69.6698 608.0 188
69.9829 606.0 188
70.3125 604.0 188
70.6201 602.0 188
70.9332 600.0 188
71.3123 596.0 188
71.6364 594.0 188
71.9495 592.0 188
72.2626 590.0 188
72.5922 588.0 188
72.9053 586.0 188
73.2788 584.0 188
73.5919 582.0 188
73.9215 578.0 188
74.2291 576.0 188
74.5422 574.0 188
74.8718 572.0 188
75.2344 570.0 188
75.5585 568.0 188
75.8716 566.0 188
76.1847 564.0 188
76.5143 562.0 188
76.8274 560.0 188
77.1405 560.0 188
77.5140 558.0 188
77.8436 556.0 188
78.1512 554.0 188
78.4644 552.0 188
78.7939 550.0 188
79.1071 548.0 188
79.4806 546.0 188
79.7937 546.0 188
80.1233 544.0 188
80.4364 542.0 188
80.7495 542.0 188
81.0736 538.0 188
81.3867 536.0 188
81.7603 534.0 188
82.0734 534.0 188
82.3865 532.0 188
82.7161 532.0 188
83.0292 530.0 188
83.3423 528.0 188
83.6719 526.0 188
83.9795 524.0 188
84.2926 524.0 188
84.6716 522.0 188
84.9957 520.0 188
85.3088 520.0 188
85.6219 518.0 188
85.9515 516.0 188
86.2646 516.0 188
86.5778 514.0 188
86.9513 512.0 188
87.2809 512.0 188
87.5885 510.0 188
87.9016 510.0 188
88.2312 509.0 188
88.5443 508.0 188
88.8574 507.0 188
89.1870 506.0 188
89.4946 504.0 188
89.8077 503.0 188
90.1208 502.0 188
90.4999 501.0 188
90.8075 501.0 188
91.1206 500.0 188
91.4502 500.0 188
91.7633 498.0 188
92.0764 497.0 188
92.3895 496.0 188
92.7136 495.0 188
93.0267 494.0 188
93.3398 493.0 188
93.6530 492.0 188
94.0265 491.0 188
94.3396 490.0 188
94.6527 489.0 188
94.9823 488.0 188
95.2954 488.0 188
95.6085 487.0 188
95.9216 486.0 188
96.2292 485.0 188
96.5588 485.0 188
96.8719 484.0 188
97.1851 483.0 188
97.5586 482.0 188
97.8717 481.0 188
98.1848 481.0 188
98.4979 480.0 188
98.8275 480.0 188
99.1406 479.0 188
99.4482 478.0 188
99.7614 477.0 188
100.0745 476.0 188
100.4041 476.0 188
100.7172 475.0 188
101.0303 475.0 188
101.3434 475.0 188
101.6510 474.0 188
101.9806 473.0 188
102.2937 473.0 188
102.6672 472.0 188
102.9803 472.0 188
103.2935 472.0 188
103.6066 471.0 188
103.9197 470.0 188
104.2493 470.0 188
104.5624 470.0 188
104.8700 470.0 188
105.1831 469.0 188
105.5127 469.0 188
105.8258 469.0 188
106.1389 468.0 188
106.4520 467.0 188
106.7651 467.0 188
107.0892 466.0 188
107.4023 466.0 188
107.7155 465.0 188
108.0286 465.0 188
108.3417 464.0 188
108.6713 464.0 188
109.0283 463.0 188
109.3579 463.0 188
109.6710 463.0 188
109.9841 463.0 188
110.2917 463.0 188
110.6049 463.0 188
110.9344 462.0 188
111.2476 461.0 188
111.5607 461.0 188
111.8738 461.0 188
112.1869 461.0 188
112.5110 461.0 188
112.8241 460.0 188
113.1372 460.0 188
113.4503 460.0 188
113.7799 460.0 188
114.0930 460.0 188
114.4061 459.0 188
114.7137 459.0 188
115.0269 459.0 188
115.3564 459.0 188
115.6696 458.0 188
115.9827 458.0 188
116.2958 458.0 188
116.6089 458.0 188
116.9330 458.0 188
117.2461 458.0 188
117.5592 458.0 188
117.8723 458.0 188
118.1854 458.0 188
118.5150 457.0 188
118.8281 457.0 188
119.1357 457.0 188
119.4489 457.0 188
119.7620 457.0 188
120.0916 458.0 188
120.4047 458.0 188
120.7178 458.0 188
121.0309 458.0 188
121.3385 458.0 188
121.6516 458.0 188
121.9647 458.0 188
122.2943 459.0 188
122.6074 459.0 188
122.9205 460.0 188
123.2336 460.0 188
123.5468 459.0 188
123.8544 460.0 188
124.1675 460.0 188
124.4971 460.0 188
124.8102 460.0 188
125.1233 460.0 188
125.4364 461.0 188
125.7495 461.0 188
126.0571 461.0 188
126.3702 462.0 188
126.6833 462.0 188
127.0129 462.0 188
127.3260 463.0 188
127.6392 463.0 188
127.9523 463.0 188
128.2159 464.0 188
128.5291 465.0 188
128.8422 464.0 188
129.1553 464.0 188
129.4684 465.0 188
129.7760 465.0 188
130.0891 465.0 188
130.4187 466.0 188
130.7318 466.0 188
131.0449 467.0 188
131.3580 467.0 188
