#RPLIDAR SCAN DATA
#COUNT=1099
#Angule	Distance	Quality
352.3260 3676.0 188
352.6392 3684.0 188
352.9688 3696.0 188
353.2764 3708.0 188
353.6060 3712.0 188
353.9191 3724.0 188
354.2487 3732.0 188
354.5618 3744.0 188
354.8859 3752.0 188
355.2155 3756.0 188
355.5286 3764.0 188
355.8582 3768.0 188
356.1713 3776.0 188
356.4954 3784.0 188
356.8085 3784.0 188
357.1381 3792.0 188
357.4512 3788.0 188
357.7808 3764.0 188
358.0884 3728.0 188
358.4180 3680.0 188
358.7311 3648.0 188
359.0607 3644.0 188
359.3738 3648.0 188
359.6979 3696.0 188
0.0110 3780.0 188
0.3406 3820.0 188
0.6702 3824.0 188
0.9833 3840.0 188
1.3074 3852.0 188
1.6205 3852.0 188
1.9501 3860.0 188
2.2632 3876.0 188
2.5928 3892.0 188
2.9059 3904.0 188
3.2300 3912.0 188
3.5431 3920.0 188
3.8727 3932.0 188
4.1858 3944.0 188
4.5154 3960.0 188
4.8230 3976.0 188
5.1526 3984.0 188
5.4822 4000.0 188
5.7953 4028.0 188
6.1249 4032.0 188
6.4325 4040.0 188
6.7621 4056.0 188
7.0752 4076.0 188
7.4048 4088.0 188
7.7179 4084.0 188
8.0420 4088.0 188
8.3551 4092.0 188
8.6847 4092.0 188
8.9978 4096.0 188
9.2615 4104.0 188
9.5911 4112.0 188
9.9042 4120.0 188
10.2338 4128.0 188
10.5469 4144.0 188
10.8710 4160.0 188
11.2006 4176.0 188
11.5137 4192.0 188
11.8433 4200.0 188
12.1674 4192.0 188
12.4805 4184.0 188
12.8101 4160.0 188
13.1232 4144.0 188
13.4528 4128.0 188
13.7769 4120.0 188
14.0900 4168.0 188
14.4196 4256.0 188
14.7327 4336.0 188
15.0623 4392.0 188
15.3864 4432.0 188
15.6995 4448.0 188
16.0291 4456.0 188
16.3422 4472.0 188
16.6718 4480.0 188
16.9958 4480.0 188
17.3090 4496.0 188
17.6385 4512.0 188
17.9681 4528.0 188
18.2812 4536.0 188
18.6053 4544.0 188
18.9185 4560.0 188
19.2480 4584.0 188
19.5776 4616.0 188
19.8853 4656.0 188
