#RPLIDAR SCAN DATA
#COUNT=824
#Angule	Distance	Quality
353.2764 968.0 188
353.6060 970.0 188
353.9355 970.0 188
354.2761 970.0 188
354.6057 970.0 188
354.9353 972.0 188
355.2649 972.0 188
355.6055 972.0 188
355.9351 970.0 188
356.2646 970.0 188
356.5887 974.0 188
356.9348 976.0 188
357.2644 978.0 188
357.5885 978.0 188
357.9181 980.0 188
358.2642 982.0 188
358.5938 982.0 188
358.9178 982.0 188
359.1980 984.0 188
359.5276 986.0 188
359.8572 990.0 188
0.1978 992.0 188
0.5273 996.0 188
0.8569 996.0 188
1.1865 996.0 188
1.5271 996.0 188
1.8567 1000.0 188
2.1863 1000.0 188
2.5104 996.0 188
2.8564 992.0 188
3.1860 994.0 188
3.5156 998.0 188
3.8397 1002.0 188
4.1858 1004.0 188
4.5154 1006.0 188
4.8560 1006.0 188
5.1855 1006.0 188
5.5151 1008.0 188
5.8557 1010.0 188
6.1853 1010.0 188
6.5149 1012.0 188
6.8555 1014.0 188
7.1851 1012.0 188
7.5146 1014.0 188
7.8552 1016.0 188
8.1848 1018.0 188
8.5309 1012.0 188
8.8550 1008.0 188
9.1846 1008.0 188
9.5306 1010.0 188
9.8547 1012.0 188
10.1843 1014.0 188
10.5304 1014.0 188
10.8545 1014.0 188
11.2006 1018.0 188
11.5302 1022.0 188
11.8542 1024.0 188
12.2003 1024.0 188
12.4640 1026.0 188
12.8101 1028.0 188
13.1396 1030.0 188
13.4637 1032.0 188
13.8098 1034.0 188
14.1394 1036.0 188
14.4800 1036.0 188
14.8096 1036.0 188
15.1392 1038.0 188
15.4797 1036.0 188
15.8093 1028.0 188
16.1993 1014.0 188
16.5289 998.0 188
16.8750 988.0 188
17.1991 986.0 188
17.5287 986.0 188
17.8748 988.0 188
18.1989 990.0 188
18.5449 992.0 188
18.8745 994.0 188
19.1986 998.0 188
19.5447 1000.0 188
19.8743 1012.0 188
20.1984 1024.0 188
20.4840 1028.0 188
20.8246 1032.0 188
21.1542 1036.0 188
21.4838 1040.0 188
21.8243 1042.0 188
22.1539 1046.0 188
22.4835 1050.0 188
22.8241 1054.0 188
23.1537 1058.0 188
23.4833 1062.0 188
23.8239 1068.0 188
24.1040 1072.0 188
24.4336 1076.0 188
24.7632 1082.0 188
25.1093 1086.0 188
25.4333 1092.0 188
25.7629 1098.0 188
26.1090 1102.0 188
26.4331 1106.0 188
26.7627 1114.0 188
27.0428 1120.0 188
27.3889 1126.0 188
27.7185 1132.0 188
28.0426 1138.0 188
28.3887 1144.0 188
28.7183 1150.0 188
29.0424 1158.0 188
29.3884 1164.0 188
29.6686 1174.0 188
29.9982 1182.0 188
30.3278 1188.0 188
30.6683 1198.0 188
30.9979 1206.0 188
31.3275 1214.0 188
31.6681 1222.0 188
31.9482 1232.0 188
32.2778 1242.0 188
32.6074 1252.0 188
32.9480 1268.0 188
33.2776 1284.0 188
33.5577 1300.0 188
33.8873 1316.0 188
34.2334 1332.0 188
34.5575 1350.0 188
35.1672 1368.0 188
36.0132 1716.0 188
36.6229 1876.0 188
36.9031 1902.0 188
37.2327 1916.0 188
37.5623 1930.0 188
37.9028 1944.0 188
38.2324 1956.0 188
38.5730 1968.0 188
38.9026 1986.0 188
39.2322 2004.0 188
39.5728 2018.0 188
39.9023 2032.0 188
40.2319 2046.0 188
40.5121 2064.0 188
40.8582 2076.0 188
41.1823 2092.0 188
41.5118 2116.0 188
41.8579 2132.0 188
42.1875 2144.0 188
42.5116 2160.0 188
42.8577 2180.0 188
43.1873 2200.0 188
43.5278 2216.0 188
43.7915 2240.0 188
44.1376 2264.0 188
44.4672 2284.0 188
44.8077 2300.0 188
