#RPLIDAR SCAN DATA
#COUNT=677
#Angule	Distance	Quality
352.8699 1322.0 188
353.1995 1320.0 188
353.5291 1316.0 188
353.8586 1316.0 188
354.1827 1314.0 188
354.5288 1312.0 188
354.8584 1312.0 188
355.1825 1310.0 188
355.5121 1310.0 188
355.8417 1310.0 188
356.1713 1308.0 188
356.5118 1308.0 188
356.8414 1308.0 188
357.1710 1308.0 188
357.4951 1308.0 188
357.8247 1306.0 188
358.1543 1306.0 188
358.4949 1306.0 188
358.8245 1306.0 188
359.1541 1306.0 188
359.4836 1306.0 188
359.8242 1306.0 188
0.1538 1306.0 188
0.4834 1308.0 188
0.8075 1308.0 188
1.1536 1308.0 188
1.4832 1308.0 188
1.8073 1310.0 188
2.1368 1310.0 188
2.4829 1310.0 188
2.8125 1312.0 188
3.1366 1312.0 188
3.4662 1312.0 188
3.8123 1314.0 188
4.1364 1316.0 188
4.4659 1316.0 188
4.7955 1318.0 188
5.1361 1320.0 188
5.4657 1322.0 188
5.7953 1326.0 188
6.1249 1326.0 188
6.4655 1328.0 188
6.7950 1330.0 188
7.1246 1332.0 188
7.4652 1334.0 188
7.7948 1336.0 188
8.1244 1338.0 188
8.4485 1342.0 188
8.7946 1346.0 188
9.1241 1348.0 188
9.4482 1348.0 188
9.7778 1352.0 188
10.1239 1354.0 188
10.4480 1356.0 188
10.7776 1358.0 188
11.1072 1362.0 188
11.4478 1366.0 188
11.7169 1368.0 188
12.0575 1372.0 188
12.3871 1374.0 188
12.7167 1378.0 188
13.0463 1382.0 188
13.3868 1386.0 188
13.7164 1390.0 188
14.0460 1396.0 188
14.3701 1398.0 188
14.7162 1402.0 188
15.0458 1406.0 188
15.3699 1410.0 188
15.6995 1416.0 188
16.0455 1424.0 188
16.3696 1428.0 188
16.6992 1432.0 188
17.0288 1436.0 188
17.3749 1440.0 188
17.6990 1444.0 188
17.9791 1448.0 188
18.3087 1452.0 188
18.6383 1460.0 188
18.9679 1468.0 188
19.6381 1478.0 188
20.2478 2716.0 188
20.5774 2724.0 188
21.2476 2732.0 188
21.9672 2264.0 188
22.2968 2264.0 188
22.6208 2264.0 188
22.9504 2268.0 188
23.2965 2272.0 188
24.1699 2784.0 188
24.5105 2812.0 188
24.8401 2816.0 188
25.1697 2824.0 188
25.4993 2824.0 188
26.3397 2112.0 188
26.6693 2100.0 188
26.9989 2096.0 188
27.3230 2100.0 188
27.6691 2104.0 188
28.3228 2112.0 188
29.1522 2888.0 188
29.4983 2884.0 188
29.8279 2888.0 188
30.1520 2900.0 188
30.4980 2904.0 188
30.8276 2928.0 188
31.1517 2956.0 188
32.0416 1958.0 188
32.3877 1950.0 188
32.7173 1954.0 188
33.0469 1962.0 188
33.3875 1968.0 188
33.7170 1976.0 188
34.3872 1980.0 188
35.1068 3112.0 188
36.2164 2516.0 188
38.1226 1844.0 188
38.4521 1836.0 188
38.7762 1826.0 188
39.1223 1824.0 188
39.4519 1834.0 188
39.7760 1844.0 188
40.1221 1852.0 188
40.4517 1864.0 188
41.4514 3432.0 188
41.7920 3448.0 188
42.1216 3468.0 188
42.4512 3500.0 188
42.7313 3520.0 188
43.0774 3528.0 188
43.4015 3544.0 188
43.7311 3568.0 188
44.0771 3588.0 188
44.4012 3604.0 188
44.7473 3612.0 188
45.0769 3632.0 188
45.4010 3680.0 188
46.4667 1770.0 188
46.7963 1758.0 188
47.1863 1744.0 188
47.5269 1726.0 188
47.8564 1716.0 188
48.1860 1712.0 188
48.5266 1710.0 188
48.8562 1708.0 188
49.2023 1704.0 188
49.5264 1700.0 188
49.8560 1696.0 188
50.2020 1700.0 188
50.5261 1708.0 188
51.0919 1988.0 188
51.4215 1988.0 188
51.7456 1984.0 188
52.0917 1978.0 188
52.4213 1972.0 188
52.7618 1958.0 188
53.0914 1924.0 188
53.4210 1898.0 188
53.7616 1908.0 188
54.0912 1918.0 188
54.4208 1912.0 188
54.7614 1900.0 188
55.0909 1892.0 188
55.4370 1892.0 188
55.7611 1898.0 188
56.0907 1902.0 188
56.4368 1906.0 188
56.7609 1910.0 188
57.0905 1924.0 188
57.4365 1946.0 188
58.6560 4968.0 188
58.9966 5024.0 188
59.3262 5048.0 188
59.6558 5088.0 188
59.9963 5136.0 188
60.3259 5176.0 188
60.6555 5152.0 188
60.9961 5112.0 188
61.3257 5080.0 188
61.6718 5056.0 188
61.9958 5056.0 188
62.3254 5048.0 188
62.6550 5048.0 188
62.9956 5032.0 188
63.3252 5016.0 188
63.6548 5000.0 188
63.9844 4992.0 188
64.3250 4968.0 188
64.6545 4936.0 188
64.9841 4928.0 188
65.3741 4912.0 188
65.6982 4880.0 188
66.0443 4872.0 188
66.3739 4864.0 188
66.6980 4848.0 188
67.0276 4840.0 188
67.3737 4824.0 188
67.6978 4816.0 188
68.0273 4816.0 188
68.3734 4816.0 188
68.7030 4808.0 188
69.0271 4776.0 188
69.3567 4760.0 188
69.7028 4768.0 188
70.0269 4744.0 188
70.3564 4712.0 188
70.6860 4696.0 188
71.0266 4704.0 188
71.3562 4704.0 188
71.6858 4696.0 188
72.0264 4696.0 188
72.3560 4696.0 188
72.6855 4688.0 188
73.0151 4688.0 188
73.3557 4688.0 188
73.6853 4672.0 188
74.0149 4664.0 188
74.3390 4664.0 188
74.6851 4656.0 188
75.0146 4648.0 188
75.3387 4640.0 188
75.6848 4640.0 188
76.0144 4640.0 188
76.3385 4624.0 188
76.6681 4616.0 188
77.0142 4608.0 188
77.3438 4608.0 188
77.6678 4600.0 188
77.9974 4632.0 188
79.2169 8128.0 188
79.5575 8112.0 188
79.8871 8080.0 188
80.2167 8008.0 188
80.5463 7944.0 188
80.8868 7952.0 188
81.2164 7992.0 188
81.5460 7992.0 188
81.8866 7992.0 188
82.2162 8000.0 188
82.5458 7992.0 188
82.8699 7872.0 188
83.2159 7672.0 188
83.5455 7592.0 188
83.8696 7552.0 188
84.1992 7488.0 188
84.5453 7488.0 188
84.8749 7504.0 188
85.1990 7512.0 188
85.5450 7536.0 188
85.8746 7568.0 188
86.1987 7656.0 188
86.5283 7752.0 188
86.8744 7824.0 188
87.8577 7928.0 188
100.9973 13160.0 188
101.3269 13016.0 188
101.6510 12816.0 188
102.6398 12672.0 188
104.0131 10360.0 188
104.3427 10216.0 188
104.6832 9968.0 188
105.0128 9744.0 188
105.3424 9576.0 188
105.6665 9400.0 188
105.9961 9176.0 188
106.3257 9016.0 188
106.6553 8880.0 188
106.9794 8680.0 188
107.3090 8496.0 188
107.6550 8296.0 188
108.0286 8112.0 188
108.3582 7952.0 188
108.6823 7816.0 188
109.0283 7656.0 188
109.6875 6832.0 188
110.0116 6776.0 188
110.3412 6832.0 188
110.6708 6920.0 188
110.9949 6920.0 188
111.3245 6864.0 188
111.6541 6800.0 188
111.9946 6704.0 188
112.3242 6576.0 188
112.6538 6456.0 188
112.9834 6360.0 188
113.3075 6320.0 188
113.6371 6272.0 188
113.9667 6168.0 188
114.3567 6056.0 188
114.6863 5976.0 188
115.0104 5928.0 188
115.3400 5880.0 188
115.6696 5792.0 188
116.0156 5728.0 188
116.3397 5656.0 188
116.6693 5600.0 188
116.9989 5568.0 188
117.3230 5512.0 188
117.6526 5432.0 188
117.9822 5368.0 188
118.6359 5304.0 188
119.4653 3344.0 188
119.7949 3360.0 188
120.1355 3380.0 188
120.4651 3396.0 188
120.7947 3420.0 188
121.1243 3428.0 188
121.7780 3432.0 188
122.6514 4632.0 188
122.9810 4576.0 188
123.3270 4552.0 188
123.6511 4520.0 188
123.9807 4488.0 188
124.3103 4464.0 188
124.6399 4432.0 188
124.9640 4392.0 188
125.2936 4368.0 188
125.6232 4320.0 188
125.9528 4280.0 188
126.2933 4248.0 188
126.6229 4176.0 188
127.6556 3724.0 188
127.9797 3732.0 188
128.3093 3748.0 188
128.6389 3756.0 188
129.2926 3920.0 188
129.6222 3932.0 188
129.9518 3944.0 188
130.2759 3916.0 188
130.6055 3868.0 188
130.9515 3848.0 188
131.2811 3836.0 188
131.6052 3808.0 188
131.9348 3788.0 188
132.2644 3780.0 188
132.5885 3756.0 188
132.9181 3712.0 188
133.2477 3688.0 188
133.5773 3680.0 188
133.9014 3664.0 188
134.2310 3644.0 188
134.5605 3632.0 188
134.8901 3616.0 188
135.2142 3596.0 188
135.5438 3572.0 188
135.8734 3556.0 188
136.2030 3544.0 188
136.5930 3508.0 188
136.9171 3468.0 188
137.2467 3456.0 188
137.5763 3448.0 188
137.9059 3432.0 188
138.2300 3404.0 188
138.5596 3376.0 188
138.8892 3372.0 188
139.5428 3380.0 188
155.0446 2788.0 188
155.3741 2772.0 188
155.6982 2776.0 188
156.0278 2776.0 188
156.3574 2768.0 188
156.6870 2768.0 188
157.0111 2776.0 188
157.3407 2788.0 188
157.6703 2792.0 188
157.9999 2776.0 188
158.3405 2760.0 188
158.6700 2748.0 188
159.3732 2732.0 188
201.9836 2944.0 188
202.3242 2928.0 188
202.6538 2908.0 188
202.9834 2880.0 188
203.3075 2848.0 188
203.6536 2832.0 188
203.9832 2832.0 188
204.3073 2828.0 188
204.6368 2820.0 188
204.9829 2800.0 188
205.3125 2772.0 188
205.6366 2744.0 188
206.0266 2716.0 188
215.5463 3356.0 188
215.8868 3336.0 188
216.2164 3312.0 188
216.5460 3288.0 188
216.8701 3268.0 188
217.2162 3248.0 188
217.5458 3248.0 188
217.8699 3260.0 188
218.1995 3288.0 188
218.5455 3312.0 188
218.8696 3320.0 188
219.1992 3328.0 188
219.5288 3332.0 188
219.8749 3356.0 188
220.1990 3376.0 188
220.5286 3392.0 188
220.8746 3408.0 188
221.1987 3424.0 188
221.5283 3448.0 188
221.8579 3464.0 188
222.1985 3484.0 188
222.5281 3504.0 188
222.8082 3524.0 188
223.1378 3536.0 188
223.4674 3544.0 188
223.8080 3568.0 188
224.1376 3612.0 188
224.4672 3644.0 188
224.8077 3652.0 188
225.1373 3664.0 188
225.4669 3684.0 188
225.8075 3700.0 188
226.1371 3712.0 188
226.4667 3728.0 188
226.7963 3776.0 188
227.1368 3816.0 188
227.4664 3824.0 188
227.7960 3844.0 188
228.1366 3864.0 188
228.4662 3884.0 188
228.7958 3908.0 188
229.1364 3944.0 188
229.4659 3980.0 188
229.7955 4004.0 188
230.1196 4024.0 188
230.4657 4044.0 188
230.7953 4060.0 188
231.1249 4084.0 188
231.4050 4136.0 188
231.7291 4184.0 188
232.0752 4208.0 188
232.4048 4240.0 188
232.7344 4264.0 188
233.0750 4288.0 188
233.4045 4320.0 188
233.7341 4384.0 188
234.0747 4432.0 188
234.4043 4456.0 188
234.7339 4472.0 188
235.0580 4496.0 188
235.4041 4544.0 188
235.7336 4576.0 188
236.0577 4592.0 188
236.4038 4576.0 188
236.7334 4512.0 188
237.0575 4456.0 188
237.4036 4416.0 188
237.7332 4400.0 188
238.0573 4408.0 188
238.7329 4880.0 188
238.9966 4968.0 188
239.3427 5072.0 188
239.6667 5112.0 188
239.9963 5144.0 188
240.3424 5184.0 188
240.6665 5240.0 188
240.9961 5312.0 188
241.6718 5344.0 188
242.3859 4216.0 188
242.7155 4184.0 188
243.0615 4176.0 188
243.3856 4160.0 188
243.7152 4144.0 188
244.9951 6144.0 188
245.2808 6184.0 188
245.6049 6256.0 188
245.9344 6360.0 188
246.2805 6432.0 188
246.6046 6504.0 188
246.9342 6600.0 188
247.2638 6728.0 188
247.6044 6864.0 188
247.9340 6984.0 188
248.2635 7072.0 188
248.6041 7176.0 188
248.9337 7320.0 188
249.2633 7432.0 188
249.6094 7504.0 188
249.9335 7608.0 188
250.2631 7736.0 188
250.5927 7856.0 188
251.5924 7576.0 188
252.2021 8552.0 188
252.5427 8800.0 188
252.8723 9000.0 188
253.2019 9176.0 188
253.5260 9392.0 188
253.8556 9616.0 188
254.2017 9808.0 188
254.5312 10032.0 188
254.8553 10304.0 188
255.1849 10576.0 188
255.5145 10760.0 188
255.8386 10856.0 188
256.1682 10976.0 188
256.5143 11088.0 188
257.4976 11240.0 188
258.4369 12728.0 188
271.3239 12880.0 188
272.3236 13080.0 188
275.6854 1690.0 188
276.0150 1688.0 188
276.3391 1690.0 188
277.0148 1696.0 188
280.6403 10768.0 188
280.9644 10776.0 188
281.2939 10856.0 188
281.6400 10912.0 188
281.9641 11048.0 188
282.2937 11120.0 188
282.6233 11096.0 188
282.9529 11032.0 188
283.2770 10928.0 188
284.6063 10080.0 188
284.9359 9912.0 188
285.2655 9800.0 188
286.2653 9056.0 188
286.5894 8928.0 188
286.9189 8848.0 188
287.2485 8760.0 188
288.2922 8176.0 188
288.6218 8072.0 188
289.2810 7944.0 188
289.6051 7544.0 188
289.9512 7360.0 188
290.2808 7208.0 188
290.6049 7152.0 188
290.9344 7096.0 188
291.2640 7008.0 188
291.5936 6952.0 188
292.2638 6704.0 188
292.5934 6680.0 188
292.9175 6576.0 188
293.2471 6520.0 188
294.2303 6440.0 188
295.4498 1834.0 188
295.7794 1814.0 188
296.1200 1794.0 188
296.4496 1774.0 188
296.8231 1754.0 188
297.1527 1738.0 188
297.4988 1718.0 188
297.8229 1698.0 188
298.1525 1682.0 188
298.4821 1662.0 188
298.8116 1656.0 188
299.8114 1662.0 188
300.2344 4984.0 188
300.9485 4632.0 188
301.2781 4728.0 188
301.6077 4768.0 188
301.9482 4768.0 188
302.2778 4752.0 188
302.6074 4712.0 188
302.9370 4648.0 188
303.2611 4608.0 188
303.5907 4560.0 188
303.9203 4528.0 188
304.2609 4512.0 188
305.2496 4464.0 188
306.0736 1712.0 188
306.4032 1708.0 188
306.7328 1692.0 188
307.0734 1682.0 188
307.7325 1690.0 188
308.3423 1868.0 188
308.6719 1886.0 188
308.9355 1902.0 188
309.2651 1914.0 188
309.5892 1930.0 188
310.5890 3892.0 188
310.9186 3868.0 188
311.2482 3828.0 188
311.5778 3792.0 188
312.2314 3764.0 188
312.9510 1804.0 188
313.2916 1794.0 188
313.6212 1784.0 188
313.9508 1776.0 188
314.2804 1768.0 188
314.6045 1772.0 188
315.5933 1782.0 188
315.9174 3508.0 188
316.2634 3464.0 188
316.5930 3440.0 188
316.9171 3432.0 188
317.2467 3416.0 188
317.5763 3388.0 188
317.9059 3364.0 188
318.2465 3352.0 188
318.5760 3344.0 188
319.5154 1906.0 188
319.8395 1898.0 188
320.1691 1892.0 188
320.5591 1880.0 188
320.8887 1874.0 188
321.2183 1878.0 188
321.5424 1884.0 188
322.5421 3160.0 188
322.8717 3144.0 188
323.2013 3136.0 188
323.5309 3128.0 188
323.8550 3120.0 188
324.1846 3104.0 188
324.5142 3096.0 188
325.4645 2028.0 188
325.7941 2022.0 188
326.1237 2012.0 188
326.4478 2004.0 188
326.7773 2000.0 188
327.4530 2004.0 188
328.2166 2952.0 188
328.5461 2952.0 188
328.8702 2944.0 188
329.1998 2932.0 188
329.5294 2920.0 188
330.3589 2176.0 188
330.6995 2172.0 188
331.0291 2172.0 188
331.3586 2164.0 188
331.6827 2152.0 188
332.3419 2148.0 188
333.1714 2824.0 188
333.4955 2808.0 188
333.8251 2800.0 188
334.1711 2796.0 188
335.2643 2336.0 188
335.5884 2324.0 188
335.9180 2320.0 188
336.2640 2316.0 188
337.2473 2320.0 188
338.2471 1476.0 188
338.5767 1470.0 188
338.9062 1466.0 188
339.2303 1460.0 188
339.5599 1456.0 188
339.9060 1450.0 188
340.2795 1446.0 188
340.6091 1438.0 188
340.9497 1432.0 188
341.2793 1428.0 188
341.6089 1424.0 188
341.9330 1418.0 188
342.2626 1412.0 188
342.5922 1410.0 188
342.9327 1406.0 188
343.2623 1400.0 188
