#RPLIDAR SCAN DATA
#COUNT=925
#Angule	Distance	Quality
352.8864 1174.0 188
353.2159 1172.0 188
353.5455 1172.0 188
353.8696 1172.0 188
354.1992 1172.0 188
354.5728 1170.0 188
354.9023 1168.0 188
355.2319 1168.0 188
355.5615 1166.0 188
355.8856 1164.0 188
356.2152 1164.0 188
356.5448 1164.0 188
356.8744 1164.0 188
357.1985 1166.0 188
357.5281 1164.0 188
357.8577 1164.0 188
358.1873 1164.0 188
358.5114 1162.0 188
358.8409 1162.0 188
359.1705 1164.0 188
359.4946 1162.0 188
359.8242 1162.0 188
0.1538 1160.0 188
0.4834 1162.0 188
0.8075 1164.0 188
1.1371 1164.0 188
1.4667 1164.0 188
1.7963 1164.0 188
2.1204 1164.0 188
2.4500 1164.0 188
2.7795 1166.0 188
3.1091 1166.0 188
3.4332 1168.0 188
3.7628 1170.0 188
4.0924 1170.0 188
4.3726 1172.0 188
4.7021 1174.0 188
5.0262 1176.0 188
5.3558 1176.0 188
5.6854 1178.0 188
6.0150 1180.0 188
6.3391 1182.0 188
6.6687 1184.0 188
6.9983 1186.0 188
7.3279 1186.0 188
7.6520 1188.0 188
7.9816 1190.0 188
8.3112 1192.0 188
8.6353 1194.0 188
8.9648 1196.0 188
9.2944 1194.0 188
9.6240 1194.0 188
9.9481 1196.0 188
10.2777 1200.0 188
10.6073 1202.0 188
10.9369 1204.0 188
11.2610 1208.0 188
11.5906 1214.0 188
11.9202 1220.0 188
12.2498 1224.0 188
12.5739 1222.0 188
12.9034 1216.0 188
13.2330 1214.0 188
13.5571 1214.0 188
13.8867 1218.0 188
14.2163 1220.0 188
14.5459 1222.0 188
14.8700 1228.0 188
15.1392 1232.0 188
15.4688 1236.0 188
15.7928 1238.0 188
16.1224 1242.0 188
16.4520 1248.0 188
16.7761 1258.0 188
17.1057 1270.0 188
17.4353 1292.0 188
17.7155 1316.0 188
18.0450 1340.0 188
18.3087 1370.0 188
18.6383 1398.0 188
18.9679 1420.0 188
19.2920 1438.0 188
19.5776 1448.0 188
19.9017 1454.0 188
20.2313 1460.0 188
20.5609 1464.0 188
20.8905 1466.0 188
21.2146 1472.0 188
21.5442 1476.0 188
21.8738 1482.0 188
22.1979 1486.0 188
22.5275 1492.0 188
22.8735 1498.0 188
23.2031 1502.0 188
23.5272 1508.0 188
23.8568 1514.0 188
24.1864 1518.0 188
24.5105 1524.0 188
24.8401 1530.0 188
25.1697 1534.0 188
25.4498 1542.0 188
25.7794 1552.0 188
26.1090 1558.0 188
26.4331 1562.0 188
26.7627 1570.0 188
27.0923 1578.0 188
27.4219 1584.0 188
27.7625 1588.0 188
28.0920 1596.0 188
28.4216 1606.0 188
28.7457 1614.0 188
29.0753 1622.0 188
29.4049 1630.0 188
29.7290 1636.0 188
30.0146 1646.0 188
30.3387 1656.0 188
30.6683 1662.0 188
30.9979 1668.0 188
31.3275 1680.0 188
31.6516 1692.0 188
31.9812 1704.0 188
32.3108 1714.0 188
32.6514 1722.0 188
32.9810 1730.0 188
33.3105 1738.0 188
33.6401 1748.0 188
33.9038 1762.0 188
34.2334 1776.0 188
34.5740 1784.0 188
34.9036 1794.0 188
35.2332 1806.0 188
35.5573 1820.0 188
35.8868 1832.0 188
36.2164 1842.0 188
36.5460 1858.0 188
36.8701 1870.0 188
37.1997 1882.0 188
37.4799 1898.0 188
38.1390 1916.0 188
38.4686 1936.0 188
38.7927 1948.0 188
39.1223 1966.0 188
39.4684 1980.0 188
40.4956 3388.0 188
41.3855 2228.0 188
41.7151 2220.0 188
42.0447 2220.0 188
42.3743 2232.0 188
42.6379 2244.0 188
43.3081 2252.0 188
44.1870 3068.0 188
44.5111 3036.0 188
44.8407 3024.0 188
45.1703 3004.0 188
45.4999 2976.0 188
45.8240 2952.0 188
46.1700 2936.0 188
46.4996 2916.0 188
47.3236 2136.0 188
47.6532 2128.0 188
47.9828 2128.0 188
48.3124 2140.0 188
48.6365 2156.0 188
49.2957 2168.0 188
49.8395 2672.0 188
50.1691 2640.0 188
50.4987 2624.0 188
50.8392 2612.0 188
51.1688 2592.0 188
51.4984 2580.0 188
51.8280 2564.0 188
52.1521 2548.0 188
52.4817 2532.0 188
52.8113 2512.0 188
53.1354 2492.0 188
53.4650 2476.0 188
53.8550 2456.0 188
54.1846 2440.0 188
55.1678 2324.0 188
55.4974 2352.0 188
55.8270 2340.0 188
56.1511 2324.0 188
56.4807 2320.0 188
56.8103 2308.0 188
57.1509 2288.0 188
57.4805 2276.0 188
57.8101 2264.0 188
58.1396 2252.0 188
58.4637 2240.0 188
59.1833 2228.0 188
59.5129 2136.0 188
59.8425 2108.0 188
60.1666 2096.0 188
60.4962 2100.0 188
60.8258 2082.0 188
61.2158 2044.0 188
61.5454 2028.0 188
61.8750 2030.0 188
62.1991 2030.0 188
62.5287 2032.0 188
62.8583 2038.0 188
63.1824 2038.0 188
63.5120 2038.0 188
63.8416 2036.0 188
64.1711 2030.0 188
64.4952 2028.0 188
64.8248 2036.0 188
65.1544 2038.0 188
66.1542 2020.0 188
66.7474 4736.0 188
67.0770 4752.0 188
67.6868 4952.0 188
68.0603 4824.0 188
68.7140 4760.0 188
68.9996 5136.0 188
69.3237 5232.0 188
69.6533 5248.0 188
69.9829 5192.0 188
70.3125 5136.0 188
70.6366 5080.0 188
70.9662 5112.0 188
71.2958 5160.0 188
71.6199 5176.0 188
71.9659 5192.0 188
72.2955 5200.0 188
72.6196 5136.0 188
72.9492 5056.0 188
73.2788 5024.0 188
73.6084 5024.0 188
73.9325 5024.0 188
74.2621 5008.0 188
74.5917 4968.0 188
74.9213 4952.0 188
75.2454 4944.0 188
75.5750 4936.0 188
75.9045 4984.0 188
76.2341 5072.0 188
76.5747 5112.0 188
76.9043 5144.0 188
77.2339 5160.0 188
77.5580 5144.0 188
77.8876 5176.0 188
78.2172 5272.0 188
78.5468 5416.0 188
99.0417 13376.0 188
99.3713 13120.0 188
99.7009 13008.0 188
100.0305 12856.0 188
101.3873 10344.0 188
101.7169 10448.0 188
102.0465 10376.0 188
102.3706 10176.0 188
102.7002 9912.0 188
103.0298 9648.0 188
103.6835 9120.0 188
104.0131 8904.0 188
104.3427 8736.0 188
104.6667 8576.0 188
104.9963 8360.0 188
105.3699 8128.0 188
106.0291 7960.0 188
106.6827 6728.0 188
107.0123 6672.0 188
107.3419 6768.0 188
107.6715 6904.0 188
107.9956 6888.0 188
108.3252 6800.0 188
108.6548 6688.0 188
108.9844 6600.0 188
109.3085 6504.0 188
109.6381 6376.0 188
109.9677 6296.0 188
110.2917 6184.0 188
110.6708 6048.0 188
110.9949 5976.0 188
111.3245 5904.0 188
111.6541 5824.0 188
111.9836 5752.0 188
112.3077 5688.0 188
112.6373 5616.0 188
112.9669 5560.0 188
113.2965 5488.0 188
113.6206 5384.0 188
113.9502 5288.0 188
114.2798 5224.0 188
114.6094 5144.0 188
114.9335 5064.0 188
115.2466 5024.0 188
115.5762 4984.0 188
115.9058 4944.0 188
116.2958 4864.0 188
116.6089 4808.0 188
