#RPLIDAR SCAN DATA
#COUNT=697
#Angule	Distance	Quality
353.2159 994.0 188
353.5620 992.0 188
353.9026 992.0 188
354.2322 990.0 188
354.5728 990.0 188
354.9023 990.0 188
355.2484 990.0 188
355.5780 988.0 188
355.9186 988.0 188
356.2482 988.0 188
356.5887 988.0 188
356.9183 986.0 188
357.2644 986.0 188
357.5885 986.0 188
357.9346 986.0 188
358.2642 986.0 188
358.6047 984.0 188
359.6045 984.0 188
0.0000 970.0 188
0.2802 992.0 188
0.6207 1008.0 188
0.9503 1000.0 188
1.2964 986.0 188
1.6205 986.0 188
1.9666 986.0 188
2.2961 986.0 188
2.6367 986.0 188
2.9663 988.0 188
3.3124 988.0 188
3.6365 988.0 188
3.9825 988.0 188
4.3121 988.0 188
4.6527 990.0 188
4.9823 992.0 188
5.3229 1002.0 188
5.6525 1020.0 188
5.9326 1032.0 188
6.2787 1034.0 188
6.6083 1034.0 188
6.9489 1036.0 188
7.2784 1038.0 188
7.6245 1038.0 188
7.9486 1040.0 188
8.2947 1042.0 188
8.6243 1044.0 188
8.9648 1046.0 188
9.2944 1046.0 188
9.6405 1048.0 188
9.9646 1050.0 188
10.3107 1052.0 188
10.6403 1054.0 188
10.9808 1056.0 188
11.3104 1058.0 188
11.6510 1060.0 188
11.9806 1062.0 188
12.3267 1064.0 188
12.6672 1066.0 188
12.9968 1068.0 188
13.2770 1072.0 188
13.6230 1074.0 188
13.9526 1076.0 188
14.2932 1080.0 188
14.6228 1082.0 188
14.9634 1086.0 188
15.3094 1090.0 188
15.6390 1092.0 188
15.9796 1094.0 188
16.3092 1096.0 188
16.6553 1102.0 188
16.9794 1108.0 188
17.3254 1110.0 188
17.6550 1112.0 188
17.9352 1118.0 188
18.2812 1122.0 188
18.6218 1124.0 188
18.9514 1128.0 188
19.2920 1134.0 188
19.6216 1140.0 188
19.9677 1144.0 188
20.2917 1150.0 188
20.6378 1154.0 188
20.9839 1158.0 188
21.3080 1164.0 188
21.6541 1170.0 188
21.9342 1176.0 188
22.2638 1182.0 188
22.6044 1186.0 188
22.9340 1192.0 188
23.2800 1198.0 188
23.6041 1204.0 188
23.9502 1214.0 188
24.2963 1222.0 188
24.5764 1230.0 188
24.9060 1238.0 188
25.2466 1246.0 188
25.5762 1254.0 188
25.9167 1262.0 188
26.2463 1274.0 188
26.5924 1288.0 188
26.8726 1296.0 188
27.5427 1306.0 188
28.0591 1572.0 188
28.3887 1598.0 188
28.7292 1608.0 188
29.0588 1614.0 188
29.4049 1620.0 188
29.7290 1628.0 188
30.0751 1636.0 188
30.3552 1642.0 188
30.6848 1652.0 188
31.0309 1662.0 188
31.3715 1670.0 188
31.7010 1676.0 188
32.0416 1686.0 188
32.3712 1698.0 188
32.7173 1704.0 188
33.0469 1714.0 188
33.3875 1724.0 188
33.7335 1732.0 188
34.0576 1744.0 188
34.4037 1756.0 188
34.6838 1768.0 188
35.0134 1778.0 188
35.3540 1788.0 188
35.6836 1794.0 188
36.0297 1808.0 188
36.3593 1824.0 188
36.6998 1834.0 188
37.0459 1846.0 188
37.3700 1856.0 188
37.7161 1870.0 188
38.0457 1888.0 188
38.3258 1902.0 188
38.6719 1912.0 188
38.9960 1924.0 188
39.3420 1942.0 188
39.6826 1954.0 188
40.0122 1970.0 188
40.3583 1990.0 188
40.6824 2006.0 188
41.0284 2016.0 188
41.3580 2030.0 188
41.6986 2048.0 188
41.9843 2060.0 188
42.3083 2064.0 188
42.6544 2064.0 188
42.9950 2072.0 188
43.3246 2088.0 188
44.3408 2104.0 188
44.7308 3648.0 188
45.0769 3656.0 188
45.4010 3680.0 188
